signal	adjusted_daily_bars_v1	ReplicatedReplacingMergeTree
signal	adjusted_daily_bars_v2	ReplicatedMergeTree
signal	exchange_sessions_v1	ReplicatedMergeTree
signal	intraday_bars_1m_v1	ReplicatedReplacingMergeTree
signal	intraday_bars_1m_v2	ReplicatedReplacingMergeTree
signal	intraday_quotes_v1	ReplicatedReplacingMergeTree
signal	intraday_trades_v1	ReplicatedReplacingMergeTree
signal	snapshot_manifests_v1	ReplicatedMergeTree
signal	snapshot_manifests_v2	ReplicatedMergeTree
torghut	hyperliquid_asset_contexts	ReplacingMergeTree
torghut	hyperliquid_bbo	ReplacingMergeTree
torghut	hyperliquid_candles	ReplacingMergeTree
torghut	hyperliquid_funding	ReplacingMergeTree
torghut	hyperliquid_l2_books	ReplacingMergeTree
torghut	hyperliquid_market_catalog	ReplacingMergeTree
torghut	hyperliquid_raw	ReplacingMergeTree
torghut	hyperliquid_runtime_latest_features	View
torghut	hyperliquid_status	ReplacingMergeTree
torghut	hyperliquid_ta_features	ReplacingMergeTree
torghut	hyperliquid_ta_features_candle_mv	MaterializedView
torghut	hyperliquid_trades	ReplacingMergeTree
torghut	options_contract_bars_1s	ReplacingMergeTree
torghut	options_contract_features	ReplacingMergeTree
torghut	options_surface_features	ReplacingMergeTree
torghut	ta_microbars	ReplicatedReplacingMergeTree
torghut	ta_signals	ReplicatedReplacingMergeTree
